/scratch/work/zhangy50/.conda_envs/rl/lib/python3.10/site-packages/gym/envs/registration.py:593: UserWarning: [33mWARN: The environment CartPole-v0 is out of date. You should consider upgrading to version `v1`.
  logger.warn(
{'episode': 0, 'epsilon': 0.1, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 10.0}
{'episode': 500, 'epsilon': 0.1, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 10.782}
{'episode': 1000, 'epsilon': 0.1, 'ep_reward': 12.0, 'timesteps': 12, 'ep_reward_avg': 12.604}
{'episode': 1500, 'epsilon': 0.1, 'ep_reward': 13.0, 'timesteps': 13, 'ep_reward_avg': 13.642}
{'episode': 2000, 'epsilon': 0.1, 'ep_reward': 15.0, 'timesteps': 15, 'ep_reward_avg': 15.844}
{'episode': 2500, 'epsilon': 0.1, 'ep_reward': 18.0, 'timesteps': 18, 'ep_reward_avg': 18.824}
{'episode': 3000, 'epsilon': 0.1, 'ep_reward': 21.0, 'timesteps': 21, 'ep_reward_avg': 19.394}
{'episode': 3500, 'epsilon': 0.1, 'ep_reward': 24.0, 'timesteps': 24, 'ep_reward_avg': 20.168}
{'episode': 4000, 'epsilon': 0.1, 'ep_reward': 21.0, 'timesteps': 21, 'ep_reward_avg': 20.51}
{'episode': 4500, 'epsilon': 0.1, 'ep_reward': 19.0, 'timesteps': 19, 'ep_reward_avg': 23.792}
{'episode': 5000, 'epsilon': 0.1, 'ep_reward': 112.0, 'timesteps': 112, 'ep_reward_avg': 44.826}
{'episode': 5500, 'epsilon': 0.1, 'ep_reward': 116.0, 'timesteps': 116, 'ep_reward_avg': 84.194}
{'episode': 6000, 'epsilon': 0.1, 'ep_reward': 93.0, 'timesteps': 93, 'ep_reward_avg': 131.744}
{'episode': 6500, 'epsilon': 0.1, 'ep_reward': 146.0, 'timesteps': 146, 'ep_reward_avg': 124.776}
{'episode': 7000, 'epsilon': 0.1, 'ep_reward': 94.0, 'timesteps': 94, 'ep_reward_avg': 123.05}
{'episode': 7500, 'epsilon': 0.1, 'ep_reward': 91.0, 'timesteps': 91, 'ep_reward_avg': 139.99}
{'episode': 8000, 'epsilon': 0.1, 'ep_reward': 99.0, 'timesteps': 99, 'ep_reward_avg': 157.136}
{'episode': 8500, 'epsilon': 0.1, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 156.33}
{'episode': 9000, 'epsilon': 0.1, 'ep_reward': 172.0, 'timesteps': 172, 'ep_reward_avg': 150.658}
{'episode': 9500, 'epsilon': 0.1, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 150.786}
{'episode': 10000, 'epsilon': 0.1, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 159.216}
{'episode': 10500, 'epsilon': 0.1, 'ep_reward': 140.0, 'timesteps': 140, 'ep_reward_avg': 175.828}
{'episode': 11000, 'epsilon': 0.1, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 179.644}
{'episode': 11500, 'epsilon': 0.1, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 168.594}
{'episode': 12000, 'epsilon': 0.1, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 173.066}
{'episode': 12500, 'epsilon': 0.1, 'ep_reward': 136.0, 'timesteps': 136, 'ep_reward_avg': 167.698}
{'episode': 13000, 'epsilon': 0.1, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 183.314}
{'episode': 13500, 'epsilon': 0.1, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 174.358}
{'episode': 14000, 'epsilon': 0.1, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 173.594}
{'episode': 14500, 'epsilon': 0.1, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 157.282}
{'episode': 15000, 'epsilon': 0.1, 'ep_reward': 163.0, 'timesteps': 163, 'ep_reward_avg': 171.412}
{'episode': 15500, 'epsilon': 0.1, 'ep_reward': 122.0, 'timesteps': 122, 'ep_reward_avg': 174.606}
{'episode': 16000, 'epsilon': 0.1, 'ep_reward': 188.0, 'timesteps': 188, 'ep_reward_avg': 180.226}
{'episode': 16500, 'epsilon': 0.1, 'ep_reward': 146.0, 'timesteps': 146, 'ep_reward_avg': 171.134}
{'episode': 17000, 'epsilon': 0.1, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 176.18}
{'episode': 17500, 'epsilon': 0.1, 'ep_reward': 149.0, 'timesteps': 149, 'ep_reward_avg': 192.988}
{'episode': 18000, 'epsilon': 0.1, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 164.964}
{'episode': 18500, 'epsilon': 0.1, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 185.22}
{'episode': 19000, 'epsilon': 0.1, 'ep_reward': 61.0, 'timesteps': 61, 'ep_reward_avg': 164.57}
{'episode': 19500, 'epsilon': 0.1, 'ep_reward': 192.0, 'timesteps': 192, 'ep_reward_avg': 161.102}
{'episode': 20000, 'epsilon': 0.1, 'ep_reward': 200.0, 'timesteps': 200, 'ep_reward_avg': 173.858}
