/scratch/work/zhangy50/.conda_envs/rl/lib/python3.10/site-packages/gym/envs/registration.py:593: UserWarning: [33mWARN: The environment CartPole-v0 is out of date. You should consider upgrading to version `v1`.
  logger.warn(
{'episode': 0, 'epsilon': 0.1, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 10.0}
{'episode': 500, 'epsilon': 0.1, 'ep_reward': 8.0, 'timesteps': 8, 'ep_reward_avg': 9.846}
{'episode': 1000, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 10.018}
{'episode': 1500, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.826}
{'episode': 2000, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.856}
{'episode': 2500, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.898}
{'episode': 3000, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.852}
{'episode': 3500, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.904}
{'episode': 4000, 'epsilon': 0.1, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 9.936}
{'episode': 4500, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.878}
{'episode': 5000, 'epsilon': 0.1, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 9.88}
{'episode': 5500, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.91}
{'episode': 6000, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.856}
{'episode': 6500, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.828}
{'episode': 7000, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.8}
{'episode': 7500, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.858}
{'episode': 8000, 'epsilon': 0.1, 'ep_reward': 15.0, 'timesteps': 15, 'ep_reward_avg': 9.952}
{'episode': 8500, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.882}
{'episode': 9000, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.828}
{'episode': 9500, 'epsilon': 0.1, 'ep_reward': 11.0, 'timesteps': 11, 'ep_reward_avg': 9.936}
{'episode': 10000, 'epsilon': 0.1, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 9.95}
{'episode': 10500, 'epsilon': 0.1, 'ep_reward': 11.0, 'timesteps': 11, 'ep_reward_avg': 9.978}
{'episode': 11000, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.996}
{'episode': 11500, 'epsilon': 0.1, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 9.84}
{'episode': 12000, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.818}
{'episode': 12500, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.88}
{'episode': 13000, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.836}
{'episode': 13500, 'epsilon': 0.1, 'ep_reward': 11.0, 'timesteps': 11, 'ep_reward_avg': 9.918}
{'episode': 14000, 'epsilon': 0.1, 'ep_reward': 11.0, 'timesteps': 11, 'ep_reward_avg': 9.986}
{'episode': 14500, 'epsilon': 0.1, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 9.9}
{'episode': 15000, 'epsilon': 0.1, 'ep_reward': 13.0, 'timesteps': 13, 'ep_reward_avg': 9.982}
{'episode': 15500, 'epsilon': 0.1, 'ep_reward': 11.0, 'timesteps': 11, 'ep_reward_avg': 9.778}
{'episode': 16000, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.812}
{'episode': 16500, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.904}
{'episode': 17000, 'epsilon': 0.1, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 9.95}
{'episode': 17500, 'epsilon': 0.1, 'ep_reward': 8.0, 'timesteps': 8, 'ep_reward_avg': 9.862}
{'episode': 18000, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.91}
{'episode': 18500, 'epsilon': 0.1, 'ep_reward': 13.0, 'timesteps': 13, 'ep_reward_avg': 9.806}
{'episode': 19000, 'epsilon': 0.1, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 9.866}
{'episode': 19500, 'epsilon': 0.1, 'ep_reward': 12.0, 'timesteps': 12, 'ep_reward_avg': 9.946}
{'episode': 20000, 'epsilon': 0.1, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 9.838}
