/scratch/work/zhangy50/.conda_envs/rl/lib/python3.10/site-packages/gym/envs/registration.py:593: UserWarning: [33mWARN: The environment CartPole-v0 is out of date. You should consider upgrading to version `v1`.
  logger.warn(
{'episode': 0, 'epsilon': 1.0, 'ep_reward': 13.0, 'timesteps': 13, 'ep_reward_avg': 13.0}
{'episode': 500, 'epsilon': 0.8, 'ep_reward': 14.0, 'timesteps': 14, 'ep_reward_avg': 21.258}
{'episode': 1000, 'epsilon': 0.6666666666666666, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 18.13}
{'episode': 1500, 'epsilon': 0.5714285714285714, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 15.476}
{'episode': 2000, 'epsilon': 0.5, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 14.208}
{'episode': 2500, 'epsilon': 0.4444444444444444, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 13.196}
{'episode': 3000, 'epsilon': 0.4, 'ep_reward': 14.0, 'timesteps': 14, 'ep_reward_avg': 12.752}
{'episode': 3500, 'epsilon': 0.36363636363636365, 'ep_reward': 11.0, 'timesteps': 11, 'ep_reward_avg': 12.192}
{'episode': 4000, 'epsilon': 0.3333333333333333, 'ep_reward': 12.0, 'timesteps': 12, 'ep_reward_avg': 11.984}
{'episode': 4500, 'epsilon': 0.3076923076923077, 'ep_reward': 11.0, 'timesteps': 11, 'ep_reward_avg': 11.706}
{'episode': 5000, 'epsilon': 0.2857142857142857, 'ep_reward': 12.0, 'timesteps': 12, 'ep_reward_avg': 11.402}
{'episode': 5500, 'epsilon': 0.26666666666666666, 'ep_reward': 13.0, 'timesteps': 13, 'ep_reward_avg': 11.058}
{'episode': 6000, 'epsilon': 0.25, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 11.074}
{'episode': 6500, 'epsilon': 0.23529411764705882, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 11.012}
{'episode': 7000, 'epsilon': 0.2222222222222222, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 10.686}
{'episode': 7500, 'epsilon': 0.21052631578947367, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 10.628}
{'episode': 8000, 'epsilon': 0.2, 'ep_reward': 11.0, 'timesteps': 11, 'ep_reward_avg': 10.532}
{'episode': 8500, 'epsilon': 0.19047619047619047, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 10.514}
{'episode': 9000, 'epsilon': 0.18181818181818182, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 10.43}
{'episode': 9500, 'epsilon': 0.17391304347826086, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 10.48}
{'episode': 10000, 'epsilon': 0.16666666666666666, 'ep_reward': 11.0, 'timesteps': 11, 'ep_reward_avg': 10.32}
{'episode': 10500, 'epsilon': 0.16, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 10.424}
{'episode': 11000, 'epsilon': 0.15384615384615385, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 10.176}
{'episode': 11500, 'epsilon': 0.14814814814814814, 'ep_reward': 11.0, 'timesteps': 11, 'ep_reward_avg': 10.096}
{'episode': 12000, 'epsilon': 0.14285714285714285, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 10.11}
{'episode': 12500, 'epsilon': 0.13793103448275862, 'ep_reward': 8.0, 'timesteps': 8, 'ep_reward_avg': 10.136}
{'episode': 13000, 'epsilon': 0.13333333333333333, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 10.112}
{'episode': 13500, 'epsilon': 0.12903225806451613, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 10.214}
{'episode': 14000, 'epsilon': 0.125, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 10.144}
{'episode': 14500, 'epsilon': 0.12121212121212122, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 10.0}
{'episode': 15000, 'epsilon': 0.11764705882352941, 'ep_reward': 11.0, 'timesteps': 11, 'ep_reward_avg': 10.028}
{'episode': 15500, 'epsilon': 0.11428571428571428, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.92}
{'episode': 16000, 'epsilon': 0.1111111111111111, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.934}
{'episode': 16500, 'epsilon': 0.10810810810810811, 'ep_reward': 11.0, 'timesteps': 11, 'ep_reward_avg': 9.952}
{'episode': 17000, 'epsilon': 0.10526315789473684, 'ep_reward': 12.0, 'timesteps': 12, 'ep_reward_avg': 10.008}
{'episode': 17500, 'epsilon': 0.10256410256410256, 'ep_reward': 8.0, 'timesteps': 8, 'ep_reward_avg': 9.92}
{'episode': 18000, 'epsilon': 0.1, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.902}
{'episode': 18500, 'epsilon': 0.0975609756097561, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 9.86}
{'episode': 19000, 'epsilon': 0.09523809523809523, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 9.926}
{'episode': 19500, 'epsilon': 0.09302325581395349, 'ep_reward': 9.0, 'timesteps': 9, 'ep_reward_avg': 9.786}
{'episode': 20000, 'epsilon': 0.09090909090909091, 'ep_reward': 10.0, 'timesteps': 10, 'ep_reward_avg': 9.894}
